"","gutenberg_id","text","title","author","gutenberg_bookshelf","language"
"72",4994,"                      XVII A STRANGE COUNTRY","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"73",4994,"                     XVIII CAUGHT BY A STRANGE PLANT","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"74",4994,"                       XIX THE BIG PEACH","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"75",4994,"                        XX OVERHAULING THE SHIP","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"76",4994,"                       XXI THE FISH THAT WALKED","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"77",4994,"                      XXII THE SNAKE-TREE","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"78",4994,"                     XXIII THE DESERTED VILLAGE","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"79",4994,"                      XXIV THE GIANTS","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"80",4994,"                       XXV HELD BY THE ENEMY","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"81",4994,"                     XXVII A FRIEND INDEED","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"82",4994,"                     XXVII A GREAT JOURNEY","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"83",4994,"                    XXVIII THE TEMPLE OF TREASURE","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"84",4994,"                      XXIX BACK HOME--CONCLUSION","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"85",4994,"","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
